timestamp: 2023-09-21T15:04:33.305Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-21T15:04:33.337Z, level: info, message: Connected to MongoDB...
timestamp: 2023-09-21T16:53:23.033Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-21T16:53:23.049Z, level: info, message: Connected to MongoDB...
timestamp: 2023-09-21T16:54:07.852Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-21T16:54:07.876Z, level: info, message: Connected to MongoDB...
timestamp: 2023-09-22T22:28:56.140Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-23T15:09:25.557Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-23T23:21:02.973Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-23T23:21:25.931Z, level: info, message: Connected to mongodb://127.0.0.1/vidly MongoDB...
timestamp: 2023-09-23T23:22:30.031Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-23T23:22:30.055Z, level: info, message: Connected to mongodb://127.0.0.1/vidly...
timestamp: 2023-09-23T23:23:11.778Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-23T23:23:11.806Z, level: info, message: Connected to mongodb://127.0.0.1/vidly_tests...
timestamp: 2023-09-23T23:38:23.126Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-23T23:38:23.152Z, level: info, message: Connected to mongodb://127.0.0.1/vidly...
timestamp: 2023-09-24T00:04:10.476Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-24T00:04:10.505Z, level: info, message: Connected to mongodb://127.0.0.1/vidly...
timestamp: 2023-09-24T00:04:49.534Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-24T00:05:42.209Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-24T00:06:20.107Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-24T00:06:20.126Z, level: info, message: Listening on port 3000...
timestamp: 2023-09-24T00:06:20.141Z, level: info, message: Connected to mongodb://127.0.0.1/vidly...
timestamp: 2023-09-24T00:06:20.154Z, level: info, message: Connected to mongodb://127.0.0.1/vidly_tests...
timestamp: 2023-09-24T00:07:18.596Z, level: info, message: Listening on port 3000...
